,current_state,go_in_elevator_time,go_out_elevator_time,goin_duration,goin_rollback_duration,goout_duration,robot_id,trip_id,date
0,go in elevator,2020-01-19 17:21:52.141,,,44.96,,EVT6-2-12,0,2020-01-19 17:21:52.141
1,go in elevator,2020-01-19 17:23:27.307,,,20.52,,EVT6-2-12,0,2020-01-19 17:23:27.307
2,go out elevator,2020-01-19 17:24:38.438,2020-01-19 17:25:10.502,15.989,,23.278,EVT6-2-12,0,2020-01-19 17:24:38.438
3,go in elevator,2020-01-19 17:27:40.815,,,22.886,,EVT6-2-12,1,2020-01-19 17:27:40.815
4,go in elevator,2020-01-19 17:28:47.952,,,20.989,,EVT6-2-12,1,2020-01-19 17:28:47.952
5,go in elevator,2020-01-19 17:29:59.078,,,23.242,,EVT6-2-12,1,2020-01-19 17:29:59.078
6,go in elevator,2020-01-19 17:31:06.186,,,21.118,,EVT6-2-12,1,2020-01-19 17:31:06.186
7,go in elevator,2020-01-19 17:32:35.372,,,32.465,,EVT6-2-12,1,2020-01-19 17:32:35.372
8,go out elevator,2020-01-19 17:34:26.561,2020-01-19 17:35:10.638,14.143,,22.826999999999998,EVT6-2-12,1,2020-01-19 17:34:26.561
9,go out elevator,2020-01-19 14:19:49.869,2020-01-19 14:20:20.930,15.402,,8.873,EVT6-2-15,0,2020-01-19 14:19:49.869
10,go out elevator,2020-01-19 14:22:57.206,2020-01-19 14:23:26.262,14.085,,10.658,EVT6-2-15,1,2020-01-19 14:22:57.206
11,go in elevator,2020-01-19 16:09:45.250,,,20.5,,EVT6-2-15,2,2020-01-19 16:09:45.250
12,go in elevator,2020-01-19 16:10:51.351,,,28.172,,EVT6-2-15,2,2020-01-19 16:10:51.351
13,go in elevator,2020-01-19 16:12:09.582,,,9.736,,EVT6-2-15,2,2020-01-19 16:12:09.582
14,go in elevator,2020-01-19 16:13:02.677,,,19.588,,EVT6-2-15,2,2020-01-19 16:13:02.677
15,go in elevator,2020-01-19 16:13:53.825,,,,,EVT6-2-15,2,2020-01-19 16:13:53.825
16,go in elevator,2020-01-19 14:06:29.263,,,5.148,,EVT6-2-16,0,2020-01-19 14:06:29.263
17,go out elevator,2020-01-19 14:07:43.607,2020-01-19 14:08:28.698,14.793,,8.818,EVT6-2-16,0,2020-01-19 14:07:43.607
18,go out elevator,2020-01-19 14:10:25.904,2020-01-19 14:10:55.961,14.434,,10.657,EVT6-2-16,1,2020-01-19 14:10:25.904
19,go out elevator,2020-01-19 14:13:28.297,2020-01-19 14:14:00.368,15.452,,20.458,EVT6-2-16,2,2020-01-19 14:13:28.297
20,go out elevator,2020-01-19 14:18:01.663,2020-01-19 14:18:33.734,16.438,,17.399,EVT6-2-16,3,2020-01-19 14:18:01.663
21,go out elevator,2020-01-19 14:21:14.024,2020-01-19 14:21:45.086,14.295,,8.185,EVT6-2-16,4,2020-01-19 14:21:14.024
22,go in elevator,2020-01-19 14:40:48.388,,,4.837,,EVT6-2-16,5,2020-01-19 14:40:48.388
23,go out elevator,2020-01-19 14:42:28.555,2020-01-19 14:43:00.625,15.995,,10.007,EVT6-2-16,5,2020-01-19 14:42:28.555
24,go out elevator,2020-01-19 14:43:42.713,2020-01-19 14:44:13.774,14.912,,8.783,EVT6-2-16,6,2020-01-19 14:43:42.713
25,go out elevator,2020-01-19 15:36:08.691,2020-01-19 15:37:04.780,16.0,,10.594,EVT6-2-16,7,2020-01-19 15:36:08.691
26,go out elevator,2020-01-19 15:42:54.510,2020-01-19 15:43:24.564,14.787,,10.773,EVT6-2-16,8,2020-01-19 15:42:54.510
27,go in elevator,2020-01-19 15:44:25.673,,,58.758,,EVT6-2-16,9,2020-01-19 15:44:25.673
28,go out elevator,2020-01-19 15:49:55.497,2020-01-19 15:50:27.549,16.155,,8.904,EVT6-2-16,9,2020-01-19 15:49:55.497
29,go out elevator,2020-01-19 16:02:16.242,2020-01-19 16:02:45.462,13.611,,9.946,EVT6-2-16,10,2020-01-19 16:02:16.242
30,go in elevator,2020-01-19 16:03:24.548,,,21.998,,EVT6-2-16,11,2020-01-19 16:03:24.548
31,go out elevator,2020-01-19 16:04:35.680,2020-01-19 16:05:07.739,14.996,,8.007,EVT6-2-16,11,2020-01-19 16:04:35.680
32,go out elevator,2020-01-19 16:07:10.933,2020-01-19 16:07:41.989,15.317,,9.795,EVT6-2-16,12,2020-01-19 16:07:10.933
